QuestionText,Option1 (correct answer),Option2,Option3,Option4
Quale calciatore detiene il record di presenze in Champions League per un italiano?,Maldini,Buffon,Pirlo,Del Piero
Come è conosciuto lo stadio presso cui gli spagnoli del Villareal giocano le loro partite in casa?,Della ceramica,Dei marmi,Della vittoria,Del bufalo
"Questo gol lo vedranno anche a Tonga! Chi segnò il gol che spinse il telecronista di Sky, Massimo Compagnoni, a questa esclamazione?",Mascara,Di Natale,Tavano,Caputo
Juan Guillerme Cuadrado è un terzino o ala della Juventus. Quale è il suo secondo cognome?,Bello,Basso,Grosso,Grande
Francesco Totti è stata una delle ultime bandiere del calcio italiano. Quanti anni aveva al suo esordio con la Roma?,Sedici,Quattordici,Quindici,Diciassette
"Molti argentini e uruguagi, per il loro modo aggressivo di giocare, si dice giochino con la garra. Ma cosa vuol dire garra?",Artiglio,Unghia,Lotta,Rissa
Chi veste la maglia numero 25 del Cagliari nella stagione attuale?,Zappa,Cragno,Godin,Ceppitelli
La finale del mondiale 1994 è ricordata con molta amarezza dagli italiani. Chi sbagliò il primo calcio di rigore per gli azzurri?,Baresi,Baggio,Massaro,Signori
"Steven Gerrard, ex capitano del Liverpool, non è mai riuscito a vincere la Premier League, pur avendoci giocato per molte stagioni. Quante?",Diciassette,Venti,Quindici,Tredici
Chi ha vinto l'ultima edizione del campionato portoghese?,Sporting Lisbona,Porto,Benfica,Braga
"Quali sono i colori sociali del Besiktas, una delle squadre di calcio della città di Istanbul?",Nero e bianco,Giallo e nero,Giallo e rosso,Verde e bianco
Quale calciatore detiene il record di partite giocate con la nazionale italiana con la fascia di capitano?,Buffon,Cannavaro,Zoff,Bergomi
"Andrea Pirlo ha esordito nel Brescia. Pirlo, nel bresciano, è anche una parola molto comune. Che cosa è un pirlo?",Un aperitivo,Un insulto,Un attrezzo da lavoro,Un bastone
Quale azienda è il fornitore tecnico del Manchester City?,Puma,Adidas,Nike,Diadora
"Prima di tornare in Italia, sulla panchina della Roma, in che nazione ha allenato Luciano Spalletti?",Russia,Spagna,Inghilterra,Turchia
A quale calciatore è stato intitolato l'aeroporto di Belfast città?,Best,Bale,Giggs,Shearer
Chi è attualmente il designatore capo degli arbitri della Serie A?,Rizzoli,Collina,Pairetto,Braschi
Quale tra questi allenatori non è nato in Friuli Venezia Giulia?,Guidolin,Capello,Delneri,Bearzot
Teemu Pukki è un attaccante del Norwich City in Premier League. Di quale nazione scandinava è originario?,Finlandia,Danimarca,Norvegia,Svezia
Quale fra questi allenatori non è nato in Emilia Romagna?,Mancini,Ancelotti,Sacchi,Pioli
In quale città ligure ha sede la Virtus Entella?,Chiavari,La Spezia,Alassio,Albenga
"Simone Perrotta, ex centrocampista, è stato una colonna della Roma e della nazionale vincitrice del mondiale. In che squadra esordì in serie B?",Reggina,Bari,Chievo Verona,Lecce
Luis Alberto gioca nella Lazio. Che numero di maglia indossa con i biancocelesti?,Dieci,Venti,Trenta,Novanta
Chi ha segnato il primo gol in assoluto nella stagione 2021-2022 della Serie A?,Ilic,Ronaldo,Lautaro,Correa
Quale calciatore detiene il record di presenze in Serie A con la maglia della Sampdoria?,Mancini,Palombo,Vialli,Flachi
Leo Messi si è sposato nel 2017 con la sua fidanzata storica. Qual è il suo nome?,Antonella,Marta,Carolina,Jennifer
Come sono soprannominati i calciatori della nazionale di calcio del Camerun?,Leoni indomabili,Iene feroci,Tigri affamate,Pantere nere
In quale stadio giocano le proprie partite casalinghe gli inglesi dell'Aston Villa?,Villa Park,Aston Martin,Villa Stadium,Aston Palace
Il Mondiale di calcio del 2026 si terrà in diverse nazioni. Quale tra questi paesi non ospiterà nemmeno una partita?,Cile,Stati Uniti,Canada,Messico
Quale squadra vinse il Campionato Europeo del 1980?,Germania,Francia,Spagna,Inghilterra
Quale azienda è stata sponsor dell'Inter per numerosi anni?,Pirelli,Ford,Sky,Ferrari
"In quale di queste nazioni, Carlo Ancelotti non ha mai allenato?",Russia,Francia,Germania,Inghilterra
I Celtics e i Rangers hanno dominato gli ultimi anni del campionato scozzese. A che anno bisogna andare indietro per trovare un altro vincitore?,Mille nove cento ottanta cinque,Mille nove cento ottanta nove,Mille nove cento novanta sette,Mille nove cento novanta nove
Quale di questi calciatori non ha mai collezionato almeno una presenza con la maglia della nazionale maggiore italiana?,Spinesi,Schelotto,Ogbonna,Motta
Quale calciatore veste la maglia numero 2 della Juventus?,De Sciglio,Chiellini,Danilo,Rugani
Quale di questi calciatori non ha fatto parte delle squadre giovanili del Milan?,Immobile,Petagna,Darmian,Cristante
"La Coppa UEFA ha cambiato denominazione, diventando Europa League, nel 2009. Chi vinse la prima edizione della neonata Europa League?",Atletico Madrid,Siviglia,Porto,Liverpool
